feature,importance,importance_normalized_catboost,importance_normalized_shap
appearance_rate,11.539506163896458,43.429029845661766,100.0
days_since_last,15.409410306029542,57.99344708340932,64.51341010221418
draw_sequence,26.570950824611085,100.0,37.778602359241404
frequency_last_10,0.5867560252198657,2.208261304207408,25.914607846261468
draw_id,6.303845667943371,23.724576924452755,23.760471483305746
current_gap,18.42958640938732,69.35990560156054,22.432621113575085
frequency_last_30,1.8529459506611847,6.9735778854587,18.705749140578977
mean_gap,0.9781707556825502,3.681353979913015,15.799102654951358
temperature_score,2.073427228951707,7.80336105635789,14.257672838130548
frequency_last_50,0.8837955884509072,3.3261722332958445,9.711025074026397
frequency_all_time,0.5961151960600584,2.2434846234705024,9.143955102836742
max_gap,6.032161476476645,22.702091153205608,8.692739711020426
std_gap,0.8318629442761686,3.1307232841124515,7.429433587431101
month,4.224291260432083,15.898156179339185,2.803396583183376
is_hot,0.5648741440794597,2.125908657947801,2.592916728298513
week_of_year,2.1135378302525867,7.954317646378476,1.762563388661657
day_of_week,0.2398192832080212,0.9025619173021499,0.5519208375925613
min_gap,0.2207332575915322,0.8307314971471783,0.19030138978072408
trend,0.2895178604209659,1.0896029364248523,0.0
is_cold,0.2019587569521814,0.7600735039000527,0.0
is_weekend,0.0567330694163327,0.2135153905135538,0.0
