draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url,draw_sequence
2025-02-03,2100,jayoda,Jayoda,L,17;18;26;68,2100 | 2025-Feb-03 Monday,dlb,https://www.dlb.lk/result/6/,1
2025-02-05,2101,jayoda,Jayoda,F,03;20;28;30,2101 | 2025-Feb-05 Wednesday,dlb,https://www.dlb.lk/result/6/,2
2025-02-10,2102,jayoda,Jayoda,Z,06;22;60;68,2102 | 2025-Feb-10 Monday,dlb,https://www.dlb.lk/result/6/,3
2025-02-12,2103,jayoda,Jayoda,I,03;12;25;51,2103 | 2025-Feb-12 Wednesday,dlb,https://www.dlb.lk/result/6/,4
2025-02-17,2104,jayoda,Jayoda,Z,01;07;43;46,2104 | 2025-Feb-17 Monday,dlb,https://www.dlb.lk/result/6/,5
2025-02-19,2105,jayoda,Jayoda,W,14;18;49;62,2105 | 2025-Feb-19 Wednesday,dlb,https://www.dlb.lk/result/6/,6
2025-02-24,2106,jayoda,Jayoda,M,06;25;36;49,2106 | 2025-Feb-24 Monday,dlb,https://www.dlb.lk/result/6/,7
2025-02-26,2107,jayoda,Jayoda,R,04;29;37;57,2107 | 2025-Feb-26 Wednesday,dlb,https://www.dlb.lk/result/6/,8
2025-03-03,2108,jayoda,Jayoda,F,04;15;37;54,2108 | 2025-Mar-03 Monday,dlb,https://www.dlb.lk/result/6/,9
2025-03-05,2109,jayoda,Jayoda,P,04;15;17;38,2109 | 2025-Mar-05 Wednesday,dlb,https://www.dlb.lk/result/6/,10
2025-03-10,2110,jayoda,Jayoda,H,06;11;14;64,2110 | 2025-Mar-10 Monday,dlb,https://www.dlb.lk/result/6/,11
2025-03-12,2111,jayoda,Jayoda,C,05;08;30;59,2111 | 2025-Mar-12 Wednesday,dlb,https://www.dlb.lk/result/6/,12
2025-03-17,2112,jayoda,Jayoda,O,14;17;33;52,2112 | 2025-Mar-17 Monday,dlb,https://www.dlb.lk/result/6/,13
2025-03-19,2113,jayoda,Jayoda,S,13;24;26;30,2113 | 2025-Mar-19 Wednesday,dlb,https://www.dlb.lk/result/6/,14
2025-03-24,2114,jayoda,Jayoda,Z,48;51;60;63,2114 | 2025-Mar-24 Monday,dlb,https://www.dlb.lk/result/6/,15
2025-03-26,2115,jayoda,Jayoda,F,20;27;45;67,2115 | 2025-Mar-26 Wednesday,dlb,https://www.dlb.lk/result/6/,16
2025-03-31,2116,jayoda,Jayoda,Z,15;22;37;51,2116 | 2025-Mar-31 Monday,dlb,https://www.dlb.lk/result/6/,17
2025-04-02,2117,jayoda,Jayoda,A,05;37;48;57,2117 | 2025-Apr-02 Wednesday,dlb,https://www.dlb.lk/result/6/,18
2025-04-07,2118,jayoda,Jayoda,W,02;19;34;59,2118 | 2025-Apr-07 Monday,dlb,https://www.dlb.lk/result/6/,19
2025-04-09,2119,jayoda,Jayoda,S,08;39;41;66,2119 | 2025-Apr-09 Wednesday,dlb,https://www.dlb.lk/result/6/,20
2025-04-21,2120,jayoda,Jayoda,D,30;52;53;60,2120 | 2025-Apr-21 Monday,dlb,https://www.dlb.lk/result/6/,21
2025-04-23,2121,jayoda,Jayoda,T,15;34;35;64,2121 | 2025-Apr-23 Wednesday,dlb,https://www.dlb.lk/result/6/,22
2025-04-28,2122,jayoda,Jayoda,X,03;16;32;34,2122 | 2025-Apr-28 Monday,dlb,https://www.dlb.lk/result/6/,23
2025-04-30,2123,jayoda,Jayoda,Z,07;23;26;28,2123 | 2025-Apr-30 Wednesday,dlb,https://www.dlb.lk/result/6/,24
2025-05-05,2124,jayoda,Jayoda,A,28;44;48;55,2124 | 2025-May-05 Monday,dlb,https://www.dlb.lk/result/6/,25
2025-05-07,2125,jayoda,Jayoda,T,19;57;61;68,2125 | 2025-May-07 Wednesday,dlb,https://www.dlb.lk/result/6/,26
2025-05-14,2126,jayoda,Jayoda,Q,22;24;41;67,2126 | 2025-May-14 Wednesday,dlb,https://www.dlb.lk/result/6/,27
2025-05-19,2127,jayoda,Jayoda,R,29;40;65;67,2127 | 2025-May-19 Monday,dlb,https://www.dlb.lk/result/6/,28
2025-05-21,2128,jayoda,Jayoda,M,16;48;51;52,2128 | 2025-May-21 Wednesday,dlb,https://www.dlb.lk/result/6/,29
2025-05-26,2129,jayoda,Jayoda,E,08;21;29;64,2129 | 2025-May-26 Monday,dlb,https://www.dlb.lk/result/6/,30
2025-05-28,2130,jayoda,Jayoda,U,07;30;33;68,2130 | 2025-May-28 Wednesday,dlb,https://www.dlb.lk/result/6/,31
2025-06-02,2131,jayoda,Jayoda,Q,07;18;42;56,2131 | 2025-Jun-02 Monday,dlb,https://www.dlb.lk/result/6/,32
2025-06-04,2132,jayoda,Jayoda,U,31;33;60;62,2132 | 2025-Jun-04 Wednesday,dlb,https://www.dlb.lk/result/6/,33
2025-06-09,2133,jayoda,Jayoda,I,25;27;45;66,2133 | 2025-Jun-09 Monday,dlb,https://www.dlb.lk/result/6/,34
2025-06-11,2134,jayoda,Jayoda,N,12;37;54;55,2134 | 2025-Jun-11 Wednesday,dlb,https://www.dlb.lk/result/6/,35
2025-06-16,2135,jayoda,Jayoda,N,22;55;63;67,2135 | 2025-Jun-16 Monday,dlb,https://www.dlb.lk/result/6/,36
2025-06-18,2136,jayoda,Jayoda,K,08;16;40;43,2136 | 2025-Jun-18 Wednesday,dlb,https://www.dlb.lk/result/6/,37
2025-06-23,2137,jayoda,Jayoda,N,06;30;49;62,2137 | 2025-Jun-23 Monday,dlb,https://www.dlb.lk/result/6/,38
2025-06-25,2138,jayoda,Jayoda,Q,22;26;51;66,2138 | 2025-Jun-25 Wednesday,dlb,https://www.dlb.lk/result/6/,39
2025-06-30,2139,jayoda,Jayoda,P,25;39;44;64,2139 | 2025-Jun-30 Monday,dlb,https://www.dlb.lk/result/6/,40
2025-07-02,2140,jayoda,Jayoda,T,35;36;59;61,2140 | 2025-Jul-02 Wednesday,dlb,https://www.dlb.lk/result/6/,41
2025-07-07,2141,jayoda,Jayoda,O,17;21;36;61,2141 | 2025-Jul-07 Monday,dlb,https://www.dlb.lk/result/6/,42
2025-07-09,2142,jayoda,Jayoda,G,02;09;34;43,2142 | 2025-Jul-09 Wednesday,dlb,https://www.dlb.lk/result/6/,43
2025-07-14,2143,jayoda,Jayoda,C,21;38;41;54,2143 | 2025-Jul-14 Monday,dlb,https://www.dlb.lk/result/6/,44
2025-07-16,2144,jayoda,Jayoda,E,05;18;40;57,2144 | 2025-Jul-16 Wednesday,dlb,https://www.dlb.lk/result/6/,45
2025-07-21,2145,jayoda,Jayoda,A,12;24;35;48,2145 | 2025-Jul-21 Monday,dlb,https://www.dlb.lk/result/6/,46
2025-07-23,2146,jayoda,Jayoda,Y,10;31;44;48,2146 | 2025-Jul-23 Wednesday,dlb,https://www.dlb.lk/result/6/,47
2025-07-28,2147,jayoda,Jayoda,O,08;12;22;45,2147 | 2025-Jul-28 Monday,dlb,https://www.dlb.lk/result/6/,48
2025-07-30,2148,jayoda,Jayoda,S,16;26;40;61,2148 | 2025-Jul-30 Wednesday,dlb,https://www.dlb.lk/result/6/,49
2025-08-04,2149,jayoda,Jayoda,F,21;49;57;64,2149 | 2025-Aug-04 Monday,dlb,https://www.dlb.lk/result/6/,50
2025-08-06,2150,jayoda,Jayoda,C,10;11;32;53,2150 | 2025-Aug-06 Wednesday,dlb,https://www.dlb.lk/result/6/,51
2025-08-11,2151,jayoda,Jayoda,X,02;22;30;40,2151 | 2025-Aug-11 Monday,dlb,https://www.dlb.lk/result/6/,52
2025-08-13,2152,jayoda,Jayoda,C,11;13;33;57,2152 | 2025-Aug-13 Wednesday,dlb,https://www.dlb.lk/result/6/,53
2025-08-18,2153,jayoda,Jayoda,Y,06;11;31;44,2153 | 2025-Aug-18 Monday,dlb,https://www.dlb.lk/result/6/,54
2025-08-20,2154,jayoda,Jayoda,B,08;25;31;38,2154 | 2025-Aug-20 Wednesday,dlb,https://www.dlb.lk/result/6/,55
2025-08-25,2155,jayoda,Jayoda,J,18;29;39;62,2155 | 2025-Aug-25 Monday,dlb,https://www.dlb.lk/result/6/,56
2025-08-27,2156,jayoda,Jayoda,X,33;37;53;62,2156 | 2025-Aug-27 Wednesday,dlb,https://www.dlb.lk/result/6/,57
2025-09-01,2157,jayoda,Jayoda,C,08;09;20;27,2157 | 2025-Sep-01 Monday,dlb,https://www.dlb.lk/result/6/,58
2025-09-03,2158,jayoda,Jayoda,U,15;34;41;44,2158 | 2025-Sep-03 Wednesday,dlb,https://www.dlb.lk/result/6/,59
2025-09-08,2159,jayoda,Jayoda,I,13;16;57;68,2159 | 2025-Sep-08 Monday,dlb,https://www.dlb.lk/result/6/,60
2025-09-10,2160,jayoda,Jayoda,L,27;58;59;68,2160 | 2025-Sep-10 Wednesday,dlb,https://www.dlb.lk/result/6/,61
2025-09-15,2161,jayoda,Jayoda,G,22;26;41;51,2161 | 2025-Sep-15 Monday,dlb,https://www.dlb.lk/result/6/,62
2025-09-17,2162,jayoda,Jayoda,W,06;18;52;57,2162 | 2025-Sep-17 Wednesday,dlb,https://www.dlb.lk/result/6/,63
2025-09-22,2163,jayoda,Jayoda,N,38;40;61;68,2163 | 2025-Sep-22 Monday,dlb,https://www.dlb.lk/result/6/,64
2025-09-24,2164,jayoda,Jayoda,C,47;50;51;55,2164 | 2025-Sep-24 Wednesday,dlb,https://www.dlb.lk/result/6/,65
2025-09-29,2165,jayoda,Jayoda,I,05;17;40;63,2165 | 2025-Sep-29 Monday,dlb,https://www.dlb.lk/result/6/,66
2025-10-01,2166,jayoda,Jayoda,F,06;19;50;66,2166 | 2025-Oct-01 Wednesday,dlb,https://www.dlb.lk/result/6/,67
2025-10-06,2167,jayoda,Jayoda,D,03;12;17;60,2167 | 2025-Oct-06 Monday,dlb,https://www.dlb.lk/result/6/,68
2025-10-08,2168,jayoda,Jayoda,A,12;17;27;52,2168 | 2025-Oct-08 Wednesday,dlb,https://www.dlb.lk/result/6/,69
2025-10-13,2169,jayoda,Jayoda,K,18;21;26;37,2169 | 2025-Oct-13 Monday,dlb,https://www.dlb.lk/result/6/,70
2025-10-15,2170,jayoda,Jayoda,I,14;16;19;47,2170 | 2025-Oct-15 Wednesday,dlb,https://www.dlb.lk/result/6/,71
2025-10-20,2171,jayoda,Jayoda,Q,40;44;48;57,2171 | 2025-Oct-20 Monday,dlb,https://www.dlb.lk/result/6/,72
2025-10-22,2172,jayoda,Jayoda,V,19;20;29;67,2172 | 2025-Oct-22 Wednesday,dlb,https://www.dlb.lk/result/6/,73
2025-10-27,2173,jayoda,Jayoda,F,01;02;26;43,2173 | 2025-Oct-27 Monday,dlb,https://www.dlb.lk/result/6/,74
