draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2025-12-01,2180,kapruka,Kapruka,W,39;56;63;64;23,2180 | 2025-Dec-01 Monday,dlb,https://www.dlb.lk/result/12/
2025-11-30,2179,kapruka,Kapruka,X,09;18;28;62;10,2179 | 2025-Nov-30 Sunday,dlb,https://www.dlb.lk/result/12/
2025-11-29,2178,kapruka,Kapruka,G,20;37;60;70;27,2178 | 2025-Nov-29 Saturday,dlb,https://www.dlb.lk/result/12/
2025-11-28,2177,kapruka,Kapruka,D,02;23;28;69;22,2177 | 2025-Nov-28 Friday,dlb,https://www.dlb.lk/result/12/
2025-11-27,2176,kapruka,Kapruka,O,01;09;16;17;06,2176 | 2025-Nov-27 Thursday,dlb,https://www.dlb.lk/result/12/
2025-11-26,2175,kapruka,Kapruka,S,08;24;29;37;36,2175 | 2025-Nov-26 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-11-25,2174,kapruka,Kapruka,C,17;21;58;71;04,2174 | 2025-Nov-25 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-11-24,2173,kapruka,Kapruka,R,17;51;52;74;30,2173 | 2025-Nov-24 Monday,dlb,https://www.dlb.lk/result/12/
2025-11-23,2172,kapruka,Kapruka,B,02;08;20;56;01,2172 | 2025-Nov-23 Sunday,dlb,https://www.dlb.lk/result/12/
2025-11-22,2171,kapruka,Kapruka,E,07;08;41;47;04,2171 | 2025-Nov-22 Saturday,dlb,https://www.dlb.lk/result/12/
2025-11-21,2170,kapruka,Kapruka,J,15;19;32;57;13,2170 | 2025-Nov-21 Friday,dlb,https://www.dlb.lk/result/12/
2025-11-20,2169,kapruka,Kapruka,N,14;27;33;48;20,2169 | 2025-Nov-20 Thursday,dlb,https://www.dlb.lk/result/12/
2025-11-19,2168,kapruka,Kapruka,C,30;47;53;63;35,2168 | 2025-Nov-19 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-11-18,2167,kapruka,Kapruka,G,01;22;52;64;14,2167 | 2025-Nov-18 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-11-17,2166,kapruka,Kapruka,H,30;33;41;74;15,2166 | 2025-Nov-17 Monday,dlb,https://www.dlb.lk/result/12/
2025-11-16,2165,kapruka,Kapruka,R,06;27;44;47;37,2165 | 2025-Nov-16 Sunday,dlb,https://www.dlb.lk/result/12/
2025-11-15,2164,kapruka,Kapruka,S,04;20;28;73;04,2164 | 2025-Nov-15 Saturday,dlb,https://www.dlb.lk/result/12/
2025-11-14,2163,kapruka,Kapruka,O,11;52;63;69;24,2163 | 2025-Nov-14 Friday,dlb,https://www.dlb.lk/result/12/
2025-11-13,2162,kapruka,Kapruka,K,21;25;43;52;12,2162 | 2025-Nov-13 Thursday,dlb,https://www.dlb.lk/result/12/
2025-11-12,2161,kapruka,Kapruka,A,13;32;47;74;33,2161 | 2025-Nov-12 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-11-11,2160,kapruka,Kapruka,T,41;52;55;65;30,2160 | 2025-Nov-11 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-11-10,2159,kapruka,Kapruka,E,09;17;59;72;18,2159 | 2025-Nov-10 Monday,dlb,https://www.dlb.lk/result/12/
2025-11-09,2158,kapruka,Kapruka,K,51;62;72;75;28,2158 | 2025-Nov-09 Sunday,dlb,https://www.dlb.lk/result/12/
2025-11-08,2157,kapruka,Kapruka,T,06;47;65;71;30,2157 | 2025-Nov-08 Saturday,dlb,https://www.dlb.lk/result/12/
2025-11-07,2156,kapruka,Kapruka,R,04;11;41;69;32,2156 | 2025-Nov-07 Friday,dlb,https://www.dlb.lk/result/12/
2025-11-06,2155,kapruka,Kapruka,X,10;38;42;47;23,2155 | 2025-Nov-06 Thursday,dlb,https://www.dlb.lk/result/12/
2025-11-05,2154,kapruka,Kapruka,Z,37;41;51;62;35,2154 | 2025-Nov-05 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-11-04,2153,kapruka,Kapruka,P,03;11;22;48;37,2153 | 2025-Nov-04 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-11-03,2152,kapruka,Kapruka,T,13;16;20;45;09,2152 | 2025-Nov-03 Monday,dlb,https://www.dlb.lk/result/12/
2025-11-02,2151,kapruka,Kapruka,T,12;35;53;60;07,2151 | 2025-Nov-02 Sunday,dlb,https://www.dlb.lk/result/12/
2025-11-01,2150,kapruka,Kapruka,K,16;28;58;67;01,2150 | 2025-Nov-01 Saturday,dlb,https://www.dlb.lk/result/12/
2025-10-31,2149,kapruka,Kapruka,J,15;34;49;65;24,2149 | 2025-Oct-31 Friday,dlb,https://www.dlb.lk/result/12/
2025-10-30,2148,kapruka,Kapruka,E,01;35;36;74;12,2148 | 2025-Oct-30 Thursday,dlb,https://www.dlb.lk/result/12/
2025-10-29,2147,kapruka,Kapruka,E,20;26;42;59;03,2147 | 2025-Oct-29 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-10-28,2146,kapruka,Kapruka,C,04;12;18;47;29,2146 | 2025-Oct-28 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-10-27,2145,kapruka,Kapruka,M,06;11;61;66;19,2145 | 2025-Oct-27 Monday,dlb,https://www.dlb.lk/result/12/
2025-10-26,2144,kapruka,Kapruka,S,12;32;44;47;03,2144 | 2025-Oct-26 Sunday,dlb,https://www.dlb.lk/result/12/
2025-10-25,2143,kapruka,Kapruka,M,38;42;65;71;26,2143 | 2025-Oct-25 Saturday,dlb,https://www.dlb.lk/result/12/
2025-10-24,2142,kapruka,Kapruka,X,14;45;66;74;09,2142 | 2025-Oct-24 Friday,dlb,https://www.dlb.lk/result/12/
2025-10-23,2141,kapruka,Kapruka,D,05;40;43;70;22,2141 | 2025-Oct-23 Thursday,dlb,https://www.dlb.lk/result/12/
2025-10-22,2140,kapruka,Kapruka,I,05;64;71;73;02,2140 | 2025-Oct-22 Wednesday,dlb,https://www.dlb.lk/result/12/
2025-10-21,2139,kapruka,Kapruka,A,09;12;33;47;12,2139 | 2025-Oct-21 Tuesday,dlb,https://www.dlb.lk/result/12/
2025-10-20,2138,kapruka,Kapruka,B,14;22;47;60;13,2138 | 2025-Oct-20 Monday,dlb,https://www.dlb.lk/result/12/
2025-10-19,2137,kapruka,Kapruka,A,14;21;50;72;12,2137 | 2025-Oct-19 Sunday,dlb,https://www.dlb.lk/result/12/
2025-10-18,2136,kapruka,Kapruka,R,26;27;29;68;18,2136 | 2025-Oct-18 Saturday,dlb,https://www.dlb.lk/result/12/
2025-10-17,2135,kapruka,Kapruka,T,11;14;16;38;32,2135 | 2025-Oct-17 Friday,dlb,https://www.dlb.lk/result/12/
