draw_date,draw_id,game,game_name,letter,numbers,raw_text,source,url
2025-08-01,1938,dhana_nidhanaya,Dhana Nidhanaya,P,29;30;33;72;04,"1938 Friday August 01, 2025 P 29 30 33 72 Lakshapathi Double Chance No 4 0 9 2 6",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-31,1937,dhana_nidhanaya,Dhana Nidhanaya,O,26;29;42;68;07,"1937 Thursday July 31, 2025 O 26 29 42 68 Lakshapathi Double Chance No 7 6 1 4 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-30,1936,dhana_nidhanaya,Dhana Nidhanaya,Y,08;17;34;72;05,"1936 Wednesday July 30, 2025 Y 08 17 34 72 Lakshapathi Double Chance No 5 8 7 6 5",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-29,1935,dhana_nidhanaya,Dhana Nidhanaya,J,14;41;42;58;07,"1935 Tuesday July 29, 2025 J 14 41 42 58 Lakshapathi Double Chance No 7 2 8 1 3",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-28,1934,dhana_nidhanaya,Dhana Nidhanaya,P,49;77;79;80;08,"1934 Monday July 28, 2025 P 49 77 79 80 Lakshapathi Double Chance No 8 5 5 1 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-27,1933,dhana_nidhanaya,Dhana Nidhanaya,R,37;40;50;62;09,"1933 Sunday July 27, 2025 R 37 40 50 62 Lakshapathi Double Chance No 9 6 3 9 6",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-26,1932,dhana_nidhanaya,Dhana Nidhanaya,C,04;10;20;76;03,"1932 Saturday July 26, 2025 C 04 10 20 76 Lakshapathi Double Chance No 3 0 3 4 9",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-25,1931,dhana_nidhanaya,Dhana Nidhanaya,E,34;59;60;69;08,"1931 Friday July 25, 2025 E 34 59 60 69 Lakshapathi Double Chance No 8 3 8 0 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-24,1930,dhana_nidhanaya,Dhana Nidhanaya,F,02;18;20;51;01,"1930 Thursday July 24, 2025 F 02 18 20 51 Lakshapathi Double Chance No 1 4 0 7 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-23,1929,dhana_nidhanaya,Dhana Nidhanaya,O,08;27;35;68;08,"1929 Wednesday July 23, 2025 O 08 27 35 68 Lakshapathi Double Chance No 8 3 4 5 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-22,1928,dhana_nidhanaya,Dhana Nidhanaya,L,06;41;46;68;05,"1928 Tuesday July 22, 2025 L 06 41 46 68 Lakshapathi Double Chance No 5 4 7 6 0",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-21,1927,dhana_nidhanaya,Dhana Nidhanaya,S,15;17;26;35;03,"1927 Monday July 21, 2025 S 15 17 26 35 Lakshapathi Double Chance No 3 1 3 1 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-20,1926,dhana_nidhanaya,Dhana Nidhanaya,E,12;19;21;56;06,"1926 Sunday July 20, 2025 E 12 19 21 56 Lakshapathi Double Chance No 6 0 1 9 8",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-19,1925,dhana_nidhanaya,Dhana Nidhanaya,S,06;08;26;68;08,"1925 Saturday July 19, 2025 S 06 08 26 68 Lakshapathi Double Chance No 8 5 4 9 2",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-18,1924,dhana_nidhanaya,Dhana Nidhanaya,E,06;15;16;68;05,"1924 Friday July 18, 2025 E 6 15 16 68 Lakshapathi Double Chance No 5 9 0 5 2",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-17,1923,dhana_nidhanaya,Dhana Nidhanaya,X,35;43;54;57;07,"1923 Thursday July 17, 2025 X 35 43 54 57 Lakshapathi Double Chance No 7 8 5 2 3",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-16,1922,dhana_nidhanaya,Dhana Nidhanaya,V,03;04;51;53;07,"1922 Wednesday July 16, 2025 V 03 04 51 53 Lakshapathi Double Chance No 7 7 9 4 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-15,1921,dhana_nidhanaya,Dhana Nidhanaya,O,35;40;58;81;06,"1921 Tuesday July 15, 2025 O 35 40 58 81 Lakshapathi Double Chance No 6 2 4 3 5",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-14,1920,dhana_nidhanaya,Dhana Nidhanaya,Z,36;39;71;76;05,"1920 Monday July 14, 2025 Z 36 39 71 76 Lakshapathi Double Chance No 5 7 4 9 2",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-13,1919,dhana_nidhanaya,Dhana Nidhanaya,I,34;37;53;59;07,"1919 Sunday July 13, 2025 I 34 37 53 59 Lakshapathi Double Chance No 7 3 4 1 0",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-12,1918,dhana_nidhanaya,Dhana Nidhanaya,Z,12;13;50;67;01,"1918 Saturday July 12, 2025 Z 12 13 50 67 Lakshapathi Double Chance No 1 8 5 0 3",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-11,1917,dhana_nidhanaya,Dhana Nidhanaya,G,28;33;39;72;07,"1917 Friday July 11, 2025 G 28 33 39 72 Lakshapathi Double Chance No 7 7 2 9 4",nlb,https://www.nlb.lk/results/dhana-nidhanaya
2025-07-10,1916,dhana_nidhanaya,Dhana Nidhanaya,T,20;29;37;70;00,"1916 Thursday July 10, 2025 T 20 29 37 70 Lakshapathi Double Chance No 0 9 4 9 3",nlb,https://www.nlb.lk/results/dhana-nidhanaya
